initial condition,time,time over period,psi_m,residual
near cycle,0.0,0.0,0.07784526801098701,0.0
near cycle,0.08775398473714506,0.013966480446927375,0.07702982117369869,3.8626475115738946e-17
near cycle,0.17550796947429012,0.02793296089385475,0.07622291632696981,3.8626475115738946e-17
near cycle,0.26326195421143517,0.04189944134078212,0.07542446399151195,2.575098341049263e-17
near cycle,0.35101593894858024,0.0558659217877095,0.07463437562535256,0.0
near cycle,0.4387699236857253,0.06983240223463688,0.07385256361401632,0.0
near cycle,0.5265239084228703,0.08379888268156424,0.0730789412608094,2.575098341049263e-17
near cycle,0.6142778931600155,0.09776536312849163,0.07231342277720558,2.575098341049263e-17
near cycle,0.7020318778971605,0.111731843575419,0.07155592327333285,2.575098341049263e-17
near cycle,0.7897858626343055,0.12569832402234637,0.07080635874855988,1.2875491705246315e-17
near cycle,0.8775398473714506,0.13966480446927376,0.07006464608218094,1.2875491705246315e-17
near cycle,0.9652938321085957,0.15363128491620112,0.06933070302419861,1.2875491705246315e-17
near cycle,1.0530478168457407,0.16759776536312848,0.06860444818620286,1.2875491705246315e-17
near cycle,1.1408018015828858,0.18156424581005587,0.06788580103234566,0.0
near cycle,1.228555786320031,0.19553072625698326,0.06717468187041029,1.2875491705246315e-17
near cycle,1.3163097710571758,0.20949720670391062,0.06647101184297405,1.2875491705246315e-17
near cycle,1.404063755794321,0.223463687150838,0.06577471291866364,2.575098341049263e-17
near cycle,1.491817740531466,0.2374301675977654,0.06508570788350211,2.575098341049263e-17
near cycle,1.579571725268611,0.25139664804469275,0.0644039203323464,2.575098341049263e-17
near cycle,1.6673257100057561,0.26536312849162014,0.06372927466041467,2.575098341049263e-17
near cycle,1.7550796947429013,0.2793296089385475,0.0630616960549023,1.2875491705246315e-17
near cycle,1.8428336794800462,0.29329608938547486,0.062401110486685785,1.9313237557869473e-17
near cycle,1.9305876642171913,0.30726256983240224,0.06174744470211347,1.9313237557869473e-17
near cycle,2.0183416489543364,0.32122905027932963,0.061100626214882325,0.0
near cycle,2.1060956336914813,0.33519553072625696,0.06046058329799974,6.4377458526231575e-18
near cycle,2.1938496184286267,0.3491620111731844,0.059827244975829634,2.575098341049263e-17
near cycle,2.2816036031657716,0.36312849162011174,0.059200541016221894,2.575098341049263e-17
near cycle,2.3693575879029165,0.37709497206703907,0.05858040192272401,2.575098341049263e-17
near cycle,2.457111572640062,0.3910614525139665,0.05796675892687463,0.0
near cycle,2.5448655573772068,0.40502793296089384,0.05735954398057757,6.4377458526231575e-18
near cycle,2.6326195421143517,0.41899441340782123,0.05675868974855591,2.575098341049263e-17
near cycle,2.720373526851497,0.4329608938547486,0.05616412960088509,3.218872926311579e-17
near cycle,2.808127511588642,0.446927374301676,0.05557579760560406,2.575098341049263e-17
near cycle,2.895881496325787,0.46089385474860334,0.05499362852140404,6.4377458526231575e-18
near cycle,2.983635481062932,0.4748603351955308,0.05441755779039369,6.4377458526231575e-18
near cycle,3.071389465800077,0.4888268156424581,0.053847521530940315,1.2875491705246315e-17
near cycle,3.159143450537222,0.5027932960893855,0.05328345653058576,6.4377458526231575e-18
near cycle,3.2468974352743674,0.5167597765363129,0.052725300239036724,0.0
near cycle,3.3346514200115123,0.5307262569832403,0.05217299076122839,1.9313237557869473e-17
near cycle,3.422405404748657,0.5446927374301676,0.05162646685046082,1.2875491705246315e-17
near cycle,3.5101593894858025,0.558659217877095,0.051085667901607124,1.2875491705246315e-17
near cycle,3.5979133742229474,0.5726256983240223,0.05055053394439285,1.2875491705246315e-17
near cycle,3.6856673589600923,0.5865921787709497,0.0500210056367458,1.9313237557869473e-17
near cycle,3.7734213436972377,0.6005586592178771,0.04949702425821543,6.4377458526231575e-18
near cycle,3.8611753284343826,0.6145251396648045,0.04897853170346121,1.2875491705246315e-17
near cycle,3.9489293131715275,0.6284916201117319,0.04846547047580928,1.2875491705246315e-17
near cycle,4.036683297908673,0.6424581005586593,0.04795778368087642,6.4377458526231575e-18
near cycle,4.124437282645818,0.6564245810055866,0.04745541502026102,1.2875491705246315e-17
near cycle,4.212191267382963,0.6703910614525139,0.0469583087853,0.0
near cycle,4.299945252120108,0.6843575418994413,0.04646640985089109,2.575098341049263e-17
near cycle,4.387699236857253,0.6983240223463688,0.04597966366938006,2.575098341049263e-17
near cycle,4.475453221594398,0.7122905027932961,0.04549801626451169,1.9313237557869473e-17
near cycle,4.563207206331543,0.7262569832402235,0.045021414225444284,0.0
near cycle,4.6509611910686885,0.7402234636871509,0.04454980470082678,0.0
near cycle,4.738715175805833,0.7541899441340781,0.04408313539293803,1.9313237557869473e-17
near cycle,4.826469160542978,0.7681564245810056,0.04362135455188744,1.9313237557869473e-17
near cycle,4.914223145280124,0.782122905027933,0.04316441096987617,1.9313237557869473e-17
near cycle,5.001977130017268,0.7960893854748603,0.042712253975518755,6.4377458526231575e-18
near cycle,5.0897311147544135,0.8100558659217877,0.0422648334282239,6.4377458526231575e-18
near cycle,5.177485099491559,0.8240223463687152,0.04182209971263443,1.2875491705246315e-17
near cycle,5.265239084228703,0.8379888268156425,0.041384003733125334,1.2875491705246315e-17
near cycle,5.352993068965849,0.8519553072625698,0.04095059724300549,9.308817244233362e-08
near cycle,5.440747053702994,0.8659217877094972,0.04052163044951764,9.21130527239399e-08
near cycle,5.5285010384401385,0.8798882681564245,0.04009715718047886,9.114814760950915e-08
near cycle,5.616255023177284,0.893854748603352,0.03967713036520146,9.019335010370529e-08
near cycle,5.704009007914429,0.9078212290502794,0.039261503426073804,8.92485543120468e-08
near cycle,5.791762992651574,0.9217877094972067,0.038850230273395375,8.831365544090668e-08
near cycle,5.879516977388719,0.9357541899441341,0.038443265300265726,8.738854987476545e-08
near cycle,5.967270962125864,0.9497206703910616,0.038040563377526995,8.64731349959542e-08
near cycle,6.055024946863009,0.9636871508379888,0.03764207984875952,8.556730930053406e-08
near cycle,6.142778931600154,0.9776536312849162,0.037247770525329724,8.467097233391879e-08
near cycle,6.2305329163372996,0.9916201117318436,0.03685759168148999,8.378402467799914e-08
near cycle,6.318286901074444,1.005586592178771,0.036471500049529905,8.290636803483373e-08
near cycle,6.406040885811589,1.0195530726256983,0.03608945281497802,8.203790503351651e-08
near cycle,6.493794870548735,1.0335195530726258,0.03571140761185424,8.117853937824502e-08
near cycle,6.581548855285879,1.047486033519553,0.035337322517971725,8.032817575175417e-08
near cycle,6.6693028400230245,1.0614525139664805,0.03496715605028805,7.948671989256919e-08
near cycle,6.75705682476017,1.0754189944134078,0.034600867160305054,7.865407847268845e-08
near cycle,6.844810809497314,1.089385474860335,0.034238415229516914,7.783015916196093e-08
near cycle,6.93256479423446,1.1033519553072626,0.03387976006490586,7.701487060233524e-08
near cycle,7.020318778971605,1.11731843575419,0.0335248618944851,7.620812236923312e-08
near cycle,7.1080727637087495,1.1312849162011174,0.03317368136288842,7.540982499086274e-08
near cycle,7.195826748445895,1.1452513966480447,0.032826179527006,7.461988996753182e-08
near cycle,7.28358073318304,1.1592178770949721,0.03248231785166594,7.383822970727034e-08
near cycle,7.371334717920185,1.1731843575418994,0.032142058205360986,7.306475751295487e-08
near cycle,7.45908870265733,1.187150837988827,0.03180536285602004,7.229938758874644e-08
near cycle,7.546842687394475,1.2011173184357542,0.031472194466824095,7.15420351109057e-08
near cycle,7.63459667213162,1.2150837988826815,0.031142516092065704,7.079261606684926e-08
near cycle,7.722350656868765,1.229050279329609,0.03081629117305214,7.005104736781029e-08
near cycle,7.810104641605911,1.2430167597765363,0.03049348353405123,6.931724676192889e-08
near cycle,7.897858626343055,1.2569832402234637,0.03017405737827981,6.859113286644088e-08
near cycle,7.9856126110802,1.270949720670391,0.029857977283934183,6.787262519342871e-08
near cycle,8.073366595817346,1.2849162011173185,0.029545208200262033,6.716164405647425e-08
near cycle,8.16112058055449,1.2988826815642458,0.029235715443675647,6.645811061250402e-08
near cycle,8.248874565291636,1.3128491620111733,0.028929464693905723,6.576194683281942e-08
near cycle,8.336628550028781,1.3268156424581006,0.02862642199019559,6.507307551597218e-08
near cycle,8.424382534765925,1.3407821229050279,0.028326553727535245,6.439142029420214e-08
near cycle,8.512136519503072,1.3547486033519553,0.028029826652934704,6.371690556584087e-08
near cycle,8.599890504240216,1.3687150837988826,0.027736207861736657,6.304945653071929e-08
near cycle,8.68764448897736,1.38268156424581,0.027445664793967508,6.238899917085449e-08
near cycle,8.775398473714507,1.3966480446927376,0.027158165230726783,6.173546024723076e-08
near cycle,8.863152458451651,1.410614525139665,0.026873677290614326,6.10887673062374e-08
near cycle,8.950906443188796,1.4245810055865922,0.026592169426194818,6.044884861529126e-08
near cycle,9.038660427925942,1.4385474860335197,0.02631361042049952,5.981563322077643e-08
near cycle,9.126414412663086,1.452513966480447,0.026037969383564504,5.918905089332337e-08
near cycle,9.21416839740023,1.4664804469273742,0.02576521574900524,5.8569032153559996e-08
near cycle,9.301922382137377,1.4804469273743017,0.025495319270626992,5.79555082688927e-08
near cycle,9.389676366874522,1.494413407821229,0.02522825001907077,5.734841117303459e-08
near cycle,9.477430351611666,1.5083798882681563,0.02496397837849443,5.674767356257165e-08
near cycle,9.565184336348812,1.522346368715084,0.024702475043288444,5.615322881005317e-08
near cycle,9.652938321085957,1.5363128491620113,0.024443711014826248,5.556501099939937e-08
near cycle,9.740692305823101,1.5502793296089385,0.024187657598248435,5.498295490658814e-08
near cycle,9.828446290560247,1.564245810055866,0.023934286399280764,5.440699598356069e-08
near cycle,9.916200275297392,1.5782122905027933,0.023683569321085465,5.383707037109704e-08
near cycle,10.003954260034536,1.5921787709497206,0.02343547856114548,5.3273114837657424e-08
near cycle,10.091708244771683,1.606145251396648,0.023189986608181477,5.271506687916735e-08
near cycle,10.179462229508827,1.6201117318435754,0.022947066239100977,5.2162864596700464e-08
near cycle,10.267216214245972,1.6340782122905027,0.022706690515979597,5.161644676407482e-08
near cycle,10.354970198983118,1.6480446927374304,0.022468832783073777,5.10757527827887e-08
near cycle,10.442724183720262,1.6620111731843576,0.022233466663864943,5.054072267880176e-08
near cycle,10.530478168457407,1.675977653631285,0.02200056605813457,5.001129715081807e-08
near cycle,10.618232153194553,1.6899441340782124,0.02177010513906976,4.948741747050108e-08
near cycle,10.705986137931697,1.7039106145251397,0.021542058350399424,4.896902555006998e-08
near cycle,10.793740122668842,1.717877094972067,0.021316400403560146,4.8456063900454294e-08
near cycle,10.881494107405988,1.7318435754189945,0.021093106274891964,4.794847563773167e-08
near cycle,10.969248092143133,1.7458100558659218,0.020872151202863464,4.744620448634674e-08
near cycle,11.057002076880277,1.759776536312849,0.020653510685325834,4.694919473404689e-08
near cycle,11.144756061617423,1.7737430167597767,0.020437160476795863,4.645739127372763e-08
near cycle,11.232510046354568,1.787709497206704,0.02022307658576726,4.597073956158722e-08
near cycle,11.320264031091712,1.8016759776536313,0.02001123527205022,4.5489185633221047e-08
near cycle,11.408018015828858,1.8156424581005588,0.019801613044138796,4.5012676100402756e-08
near cycle,11.495772000566003,1.829608938547486,0.0195941866566059,4.454115811567665e-08
near cycle,11.583525985303147,1.8435754189944134,0.019388933107525565,4.4074579382014285e-08
near cycle,11.671279970040294,1.8575418994413408,0.019185840041626514,5.3267060826521835e-08
near cycle,11.759033954777438,1.8715083798882681,0.018984864015948826,5.2709076286266163e-08
near cycle,11.846787939514583,1.8854748603351954,0.01878599325972034,5.2156936752508095e-08
near cycle,11.934541924251729,1.8994413407821231,0.018589205719766137,5.161058101516007e-08
near cycle,12.022295908988873,1.9134078212290504,0.018394479573923272,5.1069948472501504e-08
near cycle,12.110049893726018,1.9273743016759777,0.01820179322862092,5.053497918589963e-08
near cycle,12.197803878463164,1.9413407821229052,0.018011125316485795,5.000561381543206e-08
near cycle,12.285557863200308,1.9553072625698324,0.0178224546939727,4.948179366495097e-08
near cycle,12.373311847937453,1.9692737430167597,0.017635760439019887,4.896346065633217e-08
near cycle,12.461065832674599,1.9832402234636872,0.017451021848728907,4.84505572972863e-08
near cycle,12.548819817411744,1.9972067039106145,0.017268218437068925,4.7943026726423135e-08
near cycle,12.636573802148888,2.011173184357542,0.01708732993260487,4.744081264565519e-08
near cycle,12.724327786886034,2.0251396648044695,0.016908336276249575,4.694385937169971e-08
near cycle,12.812081771623179,2.0391061452513966,0.01673121761903938,4.6452111800671066e-08
near cycle,12.899835756360323,2.053072625698324,0.01655595431993297,4.5965515388767526e-08
near cycle,12.98758974109747,2.0670391061452515,0.016382526943633454,4.5484016197335467e-08
near cycle,13.075343725834614,2.0810055865921786,0.016210916258433034,4.5007560812397545e-08
near cycle,13.163097710571758,2.094972067039106,0.016041103234080433,4.4536096402592424e-08
near cycle,13.250851695308905,2.1089385474860336,0.015873069039670576,4.406957069342377e-08
near cycle,13.338605680046049,2.122905027932961,0.015706795041556375,4.3607931941509305e-08
near cycle,13.426359664783194,2.136871508379888,0.015542262801282455,4.3151128971597806e-08
near cycle,13.51411364952034,2.1508379888268156,0.015379454073540381,4.2699111105753926e-08
near cycle,13.601867634257484,2.164804469273743,0.015218350804145525,4.225182823578281e-08
near cycle,13.689621618994629,2.17877094972067,0.015058935128034903,4.1809230747586615e-08
near cycle,13.777375603731775,2.1927374301675977,0.01490118936728612,4.137126956944758e-08
near cycle,13.86512958846892,2.206703910614525,0.014745096029157063,4.093789614949592e-08
near cycle,13.952883573206064,2.2206703910614523,0.014590637804145988,4.0509062397770115e-08
near cycle,14.04063755794321,2.23463687150838,0.014437797564072173,4.008472078439253e-08
near cycle,14.128391542680355,2.2486033519553073,0.014286558360176447,3.966482423978438e-08
near cycle,14.216145527417499,2.2625698324022347,0.014136903421241737,3.924932620938651e-08
near cycle,14.303899512154645,2.2765363128491622,0.013988816151733283,3.883818062308018e-08
near cycle,14.39165349689179,2.2905027932960893,0.013842280129958284,3.8431341866217146e-08
near cycle,14.479407481628934,2.304469273743017,0.013697279106244943,3.8028764848825454e-08
near cycle,14.56716146636608,2.3184357541899443,0.013553797001140414,3.763040490743381e-08
near cycle,14.654915451103225,2.3324022346368714,0.01341181790362781,3.723621788715286e-08
near cycle,14.74266943584037,2.346368715083799,0.013271326069361709,3.6846160056375015e-08
near cycle,14.830423420577516,2.3603351955307263,0.013132305918922307,3.6460188169542516e-08
near cycle,14.91817740531466,2.374301675977654,0.012994742036087767,3.607825943495868e-08
near cycle,15.005931390051805,2.388268156424581,0.012858619166124628,3.570033147777087e-08
near cycle,15.09368537478895,2.4022346368715084,0.012723922214096272,3.532636241722344e-08
near cycle,15.181439359526095,2.416201117318436,0.012590636243188928,3.495631075560662e-08
near cycle,15.26919334426324,2.430167597765363,0.012458746473055352,3.459013547321328e-08
near cycle,15.356947329000386,2.4441340782122905,0.012328238278175791,3.4227795959133143e-08
near cycle,15.44470131373753,2.458100558659218,0.012199097186236121,3.386925202734716e-08
near cycle,15.532455298474675,2.472067039106145,0.012071308876523017,3.351446394408793e-08
near cycle,15.620209283211821,2.4860335195530725,0.011944859178335815,3.31633923264452e-08
near cycle,15.707963267948966,2.5,0.011819734069415219,3.281599827273021e-08
moderate,0.0,0.0,0.18937325671774982,0.0
moderate,0.08775398473714506,0.013966480446927375,0.1873895289048315,7.000891131239449e-17
moderate,0.17550796947429012,0.02793296089385475,0.18542658109065197,7.000891131239449e-17
moderate,0.26326195421143517,0.04189944134078212,0.1834841956000116,7.000891131239449e-17
moderate,0.35101593894858024,0.0558659217877095,0.181562157037908,2.333630377079816e-17
moderate,0.4387699236857253,0.06983240223463688,0.17966025226565,2.333630377079816e-17
moderate,0.5265239084228703,0.08379888268156424,0.1777782703772227,9.334521508319264e-17
moderate,0.6142778931600155,0.09776536312849163,0.1759160026758998,7.000891131239449e-17
moderate,0.7020318778971605,0.111731843575419,0.1740732426511002,7.000891131239449e-17
moderate,0.7897858626343055,0.12569832402234637,0.17224978595548815,2.333630377079816e-17
moderate,0.8775398473714506,0.13966480446927376,0.17044543038231236,2.333630377079816e-17
moderate,0.9652938321085957,0.15363128491620112,0.1686599758429834,4.667260754159632e-17
moderate,1.0530478168457407,0.16759776536312848,0.16689322434488504,4.667260754159632e-17
moderate,1.1408018015828858,0.18156424581005587,0.16514497996941863,9.334521508319264e-17
moderate,1.228555786320031,0.19553072625698326,0.16341504885027744,2.333630377079816e-17
moderate,1.3163097710571758,0.20949720670391062,0.1617032391519479,2.333630377079816e-17
moderate,1.404063755794321,0.223463687150838,0.16000936104843727,4.667260754159632e-17
moderate,1.491817740531466,0.2374301675977654,0.15833322670222308,2.333630377079816e-17
moderate,1.579571725268611,0.25139664804469275,0.15667465024342328,1.166815188539908e-16
moderate,1.6673257100057561,0.26536312849162014,0.1550334477491855,2.333630377079816e-17
moderate,1.7550796947429013,0.2793296089385475,0.15340943722329037,4.667260754159632e-17
moderate,1.8428336794800462,0.29329608938547486,0.1518024385759705,4.667260754159632e-17
moderate,1.9305876642171913,0.30726256983240224,0.15021227360393968,4.667260754159632e-17
moderate,2.0183416489543364,0.32122905027932963,0.14863876597063144,4.667260754159632e-17
moderate,2.1060956336914813,0.33519553072625696,0.14708174118664494,0.0
moderate,2.1938496184286267,0.3491620111731844,0.14554102659039508,7.000891131239449e-17
moderate,2.2816036031657716,0.36312849162011174,0.14401645132896654,4.667260754159632e-17
moderate,2.3693575879029165,0.37709497206703907,0.1425078463391666,7.000891131239449e-17
moderate,2.457111572640062,0.3910614525139665,0.14101504432877812,0.0
moderate,2.5448655573772068,0.40502793296089384,0.13953787975800755,2.333630377079816e-17
moderate,2.6326195421143517,0.41899441340782123,0.13807618882112846,7.000891131239449e-17
moderate,2.720373526851497,0.4329608938547486,0.1366298094283166,4.667260754159632e-17
moderate,2.808127511588642,0.446927374301676,0.13519858118767522,7.000891131239449e-17
moderate,2.895881496325787,0.46089385474860334,0.1337823453874492,2.333630377079816e-17
moderate,2.983635481062932,0.4748603351955308,0.1323809449784249,2.333630377079816e-17
moderate,3.071389465800077,0.4888268156424581,0.13099422455651494,2.333630377079816e-17
moderate,3.159143450537222,0.5027932960893855,0.12962203034552494,2.333630377079816e-17
moderate,3.2468974352743674,0.5167597765363129,0.12826421018010103,4.667260754159632e-17
moderate,3.3346514200115123,0.5307262569832403,0.12692061348885608,2.333630377079816e-17
moderate,3.422405404748657,0.5446927374301676,0.1255910912776721,4.667260754159632e-17
moderate,3.5101593894858025,0.558659217877095,0.12427549611317854,2.333630377079816e-17
moderate,3.5979133742229474,0.5726256983240223,0.12297368210640267,2.333630377079816e-17
moderate,3.6856673589600923,0.5865921787709497,0.12168550489659191,8.167706319779357e-17
moderate,3.7734213436972377,0.6005586592178771,0.12041082163520542,3.5004455656197243e-17
moderate,3.8611753284343826,0.6145251396648045,0.11914949097007298,3.5004455656197243e-17
moderate,3.9489293131715275,0.6284916201117319,0.11790137302972058,3.5004455656197243e-17
moderate,4.036683297908673,0.6424581005586593,0.11666632940785956,1.166815188539908e-17
moderate,4.124437282645818,0.6564245810055866,0.11544648642531061,1.9029158922515015e-06
moderate,4.212191267382963,0.6703910614525139,0.11423715829738545,1.8829824167591221e-06
moderate,4.299945252120108,0.6843575418994413,0.11304049815586908,1.8632577488421617e-06
moderate,4.387699236857253,0.6983240223463688,0.11185637330073105,1.8437397013872268e-06
moderate,4.475453221594398,0.7122905027932961,0.11068465242200345,1.8244261098587974e-06
moderate,4.563207206331543,0.7262569832402235,0.1095252055852203,1.8053148326025995e-06
moderate,4.6509611910686885,0.7402234636871509,0.10837790421700853,1.786403750273865e-06
moderate,4.738715175805833,0.7541899441340781,0.10724262109083031,1.7676907658023286e-06
moderate,4.826469160542978,0.7681564245810056,0.10611923031287479,1.7491738041705314e-06
moderate,4.914223145280124,0.782122905027933,0.10500760730809708,1.7308508118887548e-06
moderate,5.001977130017268,0.7960893854748603,0.1039076288064043,1.7127197570650298e-06
moderate,5.0897311147544135,0.8100558659217877,0.10281917282898577,1.694778629183441e-06
moderate,5.177485099491559,0.8240223463687152,0.10174211867478644,1.6770254386840743e-06
moderate,5.265239084228703,0.8379888268156425,0.10067634690712228,1.6594582168813393e-06
moderate,5.352993068965849,0.8519553072625698,0.09962173934043542,1.6420750156839332e-06
moderate,5.440747053702994,0.8659217877094972,0.09857817902718875,1.6248739074781603e-06
moderate,5.5285010384401385,0.8798882681564245,0.09754555024489701,1.6078529847778865e-06
moderate,5.616255023177284,0.893854748603352,0.0965237384832943,1.5910103601428629e-06
moderate,5.704009007914429,0.9078212290502794,0.09551263043163553,1.5743441657936764e-06
moderate,5.791762992651574,0.9217877094972067,0.09451211396613153,1.5578525535650774e-06
moderate,5.879516977388719,0.9357541899441341,0.09352207813751529,1.5415336947542932e-06
moderate,5.967270962125864,0.9497206703910616,0.09254241315873842,1.525385779700976e-06
moderate,6.055024946863009,0.9636871508379888,0.0915730103927968,1.5094070177171913e-06
moderate,6.142778931600154,0.9776536312849162,0.09061376234068357,1.4935956369007306e-06
moderate,6.2305329163372996,0.9916201117318436,0.08966456262946827,1.4779498838200694e-06
moderate,6.318286901074444,1.005586592178771,0.08872530600050126,1.462468023631049e-06
moderate,6.406040885811589,1.0195530726256983,0.08779588829774077,1.4471483393651193e-06
moderate,6.493794870548735,1.0335195530726258,0.08687620645620352,1.4319891323493926e-06
moderate,6.581548855285879,1.047486033519553,0.08596615849053506,1.4169887214132091e-06
moderate,6.6693028400230245,1.0614525139664805,0.08506564348370078,1.4021454431798402e-06
moderate,6.75705682476017,1.0754189944134078,0.08417456157579488,1.3874576516581042e-06
moderate,6.844810809497314,1.089385474860335,0.08329281395296667,1.3729237180556747e-06
moderate,6.93256479423446,1.1033519553072626,0.08242030283646312,1.3585420307790814e-06
moderate,7.020318778971605,1.11731843575419,0.08155693147178557,1.3443109948969753e-06
moderate,7.1080727637087495,1.1312849162011174,0.08070260411796082,1.330229032338486e-06
moderate,7.195826748445895,1.1452513966480447,0.07985722603692408,1.316294581543179e-06
moderate,7.28358073318304,1.1592178770949721,0.07902070348301324,1.3025060972743637e-06
moderate,7.371334717920185,1.1731843575418994,0.07819294369257329,1.2888620505140804e-06
moderate,7.45908870265733,1.187150837988827,0.07737385487366946,1.2753609282064018e-06
moderate,7.546842687394475,1.2011173184357542,0.07656334619590846,1.2620012332457641e-06
moderate,7.63459667213162,1.2150837988826815,0.07576132778036584,1.2487814841035857e-06
moderate,7.722350656868765,1.229050279329609,0.0749677106896194,1.235700214863273e-06
moderate,7.810104641605911,1.2430167597765363,0.07418240691788641,1.2227559748701744e-06
moderate,7.897858626343055,1.2569832402234637,0.07340532938126482,1.2099473286732406e-06
moderate,7.9856126110802,1.270949720670391,0.07263639190807623,1.1972728560133562e-06
moderate,8.073366595817346,1.2849162011173185,0.07187550922931003,1.1847311513216083e-06
moderate,8.16112058055449,1.2988826815642458,0.0711225969691679,1.1723208238359697e-06
moderate,8.248874565291636,1.3128491620111733,0.07037757163570701,1.1600404973329296e-06
moderate,8.336628550028781,1.3268156424581006,0.0696403506115817,1.1478888100108138e-06
moderate,8.424382534765925,1.3407821229050279,0.0689108521448818,1.1358644144081056e-06
moderate,8.512136519503072,1.3547486033519553,0.06818899534006669,1.1239659770300672e-06
moderate,8.599890504240216,1.3687150837988826,0.06747470014899519,1.1121921785354285e-06
moderate,8.68764448897736,1.38268156424581,0.06676788736204829,1.1005417132229892e-06
moderate,8.775398473714507,1.3966480446927376,0.06606847859934585,1.089013289159968e-06
moderate,8.863152458451651,1.410614525139665,0.06537639630205479,1.0776056279953125e-06
moderate,8.950906443188796,1.4245810055865922,0.06469156372378819,1.0663174646213225e-06
moderate,9.038660427925942,1.4385474860335197,0.06401390492209522,1.055147547372009e-06
moderate,9.126414412663086,1.452513966480447,0.06334334475003918,1.0440946375096957e-06
moderate,9.21416839740023,1.4664804469273742,0.06267980884786475,1.0331575093650355e-06
moderate,9.301922382137377,1.4804469273743017,0.062023223634751844,1.0223349501619896e-06
moderate,9.389676366874522,1.494413407821229,0.06137351630065614,1.0116257596736166e-06
moderate,9.477430351611666,1.5083798882681563,0.06073061479823517,1.0010287504379333e-06
moderate,9.565184336348812,1.522346368715084,0.06009444783485846,9.905427472445158e-07
moderate,9.652938321085957,1.5363128491620113,0.059464944864702274,9.80166587309522e-07
moderate,9.740692305823101,1.5502793296089385,0.05884203608092623,9.69899120007324e-07
moderate,9.828446290560247,1.564245810055866,0.058225652407932496,9.59739206759661e-07
moderate,9.916200275297392,1.5782122905027933,0.05761572549370578,9.496857209306255e-07
moderate,10.003954260034536,1.5921787709497206,0.05701218770223357,9.397375475991344e-07
moderate,10.091708244771683,1.606145251396648,0.05641497210600605,9.298935836581085e-07
moderate,10.179462229508827,1.6201117318435754,0.05582401247859419,9.201527374760958e-07
moderate,10.267216214245972,1.6340782122905027,0.05523924328730585,9.105139288739357e-07
moderate,10.354970198983118,1.6480446927374304,0.05466059968591862,9.009760889730723e-07
moderate,10.442724183720262,1.6620111731843576,0.054088252235259676,1.088892329028997e-06
moderate,10.530478168457407,1.675977653631285,0.05352166552618101,1.0774859349264568e-06
moderate,10.618232153194553,1.6899441340782124,0.052961013941378615,1.066199025382898e-06
moderate,10.705986137931697,1.7039106145251397,0.05240623530907973,1.0550303488023408e-06
moderate,10.793740122668842,1.717877094972067,0.05185726810877482,1.0439786665929597e-06
moderate,10.881494107405988,1.7318435754189945,0.05131405146439586,1.0330427533187716e-06
moderate,10.969248092143133,1.7458100558659218,0.05077652513756526,1.022221396186235e-06
moderate,11.057002076880277,1.759776536312849,0.05024462952091619,1.0115133952251083e-06
moderate,11.144756061617423,1.7737430167597767,0.04971830563148248,1.0009175630142463e-06
moderate,11.232510046354568,1.787709497206704,0.049197495104157885,9.904327245124138e-07
moderate,11.320264031091712,1.8016759776536313,0.04868214018522401,9.800577171166246e-07
moderate,11.408018015828858,1.8156424581005588,0.04817218372594553,9.697913902537579e-07
moderate,11.495772000566003,1.829608938547486,0.0476675691762333,9.596326055030727e-07
moderate,11.583525985303147,1.8435754189944134,0.04716824057837307,9.495802363103385e-07
