branch,mode,exact_multiplier,numerical_multiplier,exact_exponent,numerical_exponent
phase,0,1.0,0.9999999950000203,0.0,-7.957714790486734e-10
radial,0,3.4873423562089973e-06,3.4868441467498745e-06,-2.0,-2.0000227388522562
phase,1,0.47048921771981794,0.47048921659163473,-0.12,-0.12000000038163666
radial,1,1.640756977093956e-06,1.6407494327268713e-06,-2.12,-2.120000731812262
phase,2,0.04900029563873201,0.04900029557576679,-0.48,-0.4800000002045135
radial,2,1.70880806447713e-07,1.708753844985942e-07,-2.48,-2.480005049974376
phase,3,0.001129658243080307,0.001129658242186478,-1.08,-1.0800000001259296
radial,3,3.939505039134594e-09,3.9345382112898004e-09,-3.08,-3.0802007851068858
