initial condition,error at m=0,error at m=8,median reduction factor
near cycle,2.0042003834315232e-05,1.1487418386588714e-10,0.22136079256050822
moderate,0.0003552546095414367,2.026356016445773e-09,0.22136046634412315
farther in basin,0.0020982422826636075,1.1914598241224561e-08,0.22136041304325996
