return depth,entry shift over period,entry time,entry distance,globalization candidate,normalized discrepancy from first entry
0,0.0,6.346017160251383,0.1391981888239104,0.42148153973493646,0.0
0,0.4,8.859291283123216,0.10307791325661136,0.4214815397349363,1.171548479798246e-16
0,1.2,13.885839528866885,0.05644671835089601,0.4224085612576147,0.0006521516437358191
0,2.15,19.854865570687494,0.027586834022303296,0.4226141324496532,0.0007967692038602995
1,0.0,6.346017160251383,0.1391981888239104,0.42240856125761006,0.0
1,0.4,8.859291283123216,0.10307791325661136,0.4224085612576087,9.75654125390284e-16
1,1.2,13.885839528866885,0.05644671835089601,0.42261413244966106,0.0001445233090197712
1,2.15,19.854865570687494,0.027586834022303296,0.42265965596643473,0.0001765278385295078
2,0.0,6.346017160251383,0.1391981888239104,0.42261413244966567,0.0
2,0.4,8.859291283123216,0.10307791325661136,0.4226141324496636,1.4437594486846631e-15
2,1.2,13.885839528866885,0.05644671835089601,0.4226596559664526,3.199990478693563e-05
2,2.15,19.854865570687494,0.027586834022303296,0.42266973395181145,3.908403612583463e-05
3,0.0,6.346017160251383,0.1391981888239104,0.42265965596643046,0.0
3,0.4,8.859291283123216,0.10307791325661136,0.42265965596643845,5.618775891884676e-15
3,1.2,13.885839528866885,0.05644671835089601,0.42266973395180735,7.083904667305913e-06
3,2.15,19.854865570687494,0.027586834022303296,0.4226719648595474,8.652029362967063e-06
4,0.0,6.346017160251383,0.1391981888239104,0.42266973395178153,0.0
4,0.4,8.859291283123216,0.10307791325661136,0.42266973395178925,5.4236410861934855e-15
4,1.2,13.885839528866885,0.05644671835089601,0.4226719648595404,1.5681136005214592e-06
4,2.15,19.854865570687494,0.027586834022303296,0.4226724586956582,1.915232897464817e-06
5,0.0,6.346017160251383,0.1391981888239104,0.42267196485951525,0.0
5,0.4,8.859291283123216,0.10307791325661136,0.42267196485952313,5.540689399623471e-15
5,1.2,13.885839528866885,0.05644671835089601,0.42267245869565107,3.471187652638632e-07
5,2.15,19.854865570687494,0.027586834022303296,0.4226725680113664,4.2395707937511054e-07
6,0.0,6.346017160251383,0.1391981888239104,0.4226724586956258,0.0
6,0.4,8.859291283123216,0.10307791325661136,0.42267245869563375,5.579706402236741e-15
6,1.2,13.885839528866885,0.05644671835089601,0.42267256801135816,7.683829941804742e-08
6,2.15,19.854865570687494,0.027586834022303296,0.42267259220949704,9.384723125871454e-08
7,0.0,6.346017160251383,0.1391981888239104,0.4226725680113354,0.0
7,0.4,8.859291283123216,0.10307791325661136,0.4226725680113431,5.4236302819352305e-15
7,1.2,13.885839528866885,0.05644671835089601,0.4226725922094901,1.7008941654123114e-08
7,2.15,19.854865570687494,0.027586834022303296,0.422672597565991,2.077403914031418e-08
8,0.0,6.346017160251383,0.1391981888239104,0.4226725922094665,0.0
8,0.4,8.859291283123216,0.10307791325661136,0.4226725922094745,5.6187248008248636e-15
8,1.2,13.885839528866885,0.05644671835089601,0.42267259756598347,3.7651086986193305e-09
8,2.15,19.854865570687494,0.027586834022303296,0.4226725987516976,4.598550029027029e-09
