n,target real part,estimated real part,target imaginary part,estimated imaginary part
-2,-0.12,-0.11999947239270536,-2.0,-2.0000000000000004
-1,-0.12,-0.11999947239270536,-1.0,-1.0000000000000002
0,-0.12,-0.11999947239270536,0.0,0.0
1,-0.12,-0.11999947239270536,1.0,1.0000000000000002
2,-0.12,-0.11999947239270536,2.0,2.0000000000000004
